S_No,City,State,Event_Type,Event_Name,Address,Zipcode,phone,Event,Event_Date,Event_Price,Event_Email
1,Los Angeles,CA,Museum,Natural History Museum of Los Angeles County,900 W Exposition Blvd,90007,213 763 3466,Natural History Research Library,1/12/22,15,lmitchinsonu@de.vu
2,Los Angeles,CA,Museum,Natural History Museum of Los Angeles County,900 W Exposition Blvd,90007,213 763 3466,Natural History Research Library,1/13/22,15,lmitchinsonu@de.vu
3,Los Angeles,CA,Museum,Natural History Museum of Los Angeles County,900 W Exposition Blvd,90007,213 763 3466,Natural History Research Library,1/14/22,15,lmitchinsonu@de.vu
4,Los Angeles,CA,Museum,Natural History Museum of Los Angeles County,900 W Exposition Blvd,90007,213 763 3466,Natural History Research Library,1/15/22,15,lmitchinsonu@de.vu
5,Los Angeles,CA,Museum,Natural History Museum of Los Angeles County,900 W Exposition Blvd,90007,213 763 3466,Natural History Research Library,1/16/22,15,lmitchinsonu@de.vu
6,Los Angeles,CA,Museum,Los Angeles County Museum of Art,5905 Wilshire Blvd,90036,323 857 6000,"Modern architecture, Streamline Moderne",1/12/22,25,yruttv@state.tx.us
7,Los Angeles,CA,Museum,Los Angeles County Museum of Art,5905 Wilshire Blvd,90036,323 857 6000,"Modern architecture, Streamline Moderne",1/13/22,25,yruttv@state.tx.us
8,Los Angeles,CA,Museum,Los Angeles County Museum of Art,5905 Wilshire Blvd,90036,323 857 6000,"Modern architecture, Streamline Moderne",1/14/22,25,yruttv@state.tx.us
9,Los Angeles,CA,Museum,Los Angeles County Museum of Art,5905 Wilshire Blvd,90036,323 857 6000,"Modern architecture, Streamline Moderne",1/15/22,25,yruttv@state.tx.us
10,Los Angeles,CA,Museum,Los Angeles County Museum of Art,5905 Wilshire Blvd,90036,323 857 6000,"Modern architecture, Streamline Moderne",1/16/22,25,yruttv@state.tx.us
11,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/12/22,15,burridgew@domainmarket.com
12,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/13/22,15,burridgew@domainmarket.com
13,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/14/22,15,burridgew@domainmarket.com
14,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/15/22,15,burridgew@domainmarket.com
15,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/16/22,15,burridgew@domainmarket.com
16,Los Angeles,CA,Museum,La Brea Tar Pits and Museum,5801 Wilshire Blvd,90036,213 763 3499,A gateway back to the Ice Age,1/17/22,15,burridgew@domainmarket.com
17,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/12/22,134,wnorthidgex@theatlantic.com
18,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/13/22,134,wnorthidgex@theatlantic.com
19,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/14/22,134,wnorthidgex@theatlantic.com
20,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/15/22,134,wnorthidgex@theatlantic.com
21,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/16/22,134,wnorthidgex@theatlantic.com
22,Los Angeles,CA,Attraction,Universal Studios Hollywood,100 Universal City Plaza,91608,800 864 8377,Universal Studio Tour ,1/17/22,134,wnorthidgex@theatlantic.com
23,Los Angeles,CA,Attraction,Warner Bros. Studio Tour Hollywood,3400 Warner Blvd,91505,818 977 8687,Film and television studio,1/12/22,69,pbrownselly@desdev.cn
