no,Package_Name,Tier,City,State,Event_Type,Event_Name,Address,Zipcode,phone,Event,Event_Date,Event_Price
1,NewYork Express 1 - Museum ,Tier 1,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/12/22,23
2,NewYork Express 1 - Museum ,Tier 1,New York,NY,Restaurant,Le Bernardin,155 W 51st St,10019,212 554 1515,Elite French Restaurant,1/12/22,125
3,NewYork Express 1 - Museum ,Tier 1,New York,NY,Museum,Whitney Museum of American Art,99 Gansevoort St.,10014,(212) 570-3600,Open Studio From Home: Jasper Johns PMA X Whitney,1/13/22,20
4,NewYork Express 1 - Museum ,Tier 1,New York,NY,Restaurant,Dame,87 MacDougal St,10012,929 367 7370,Best Seafood Eatery in town,1/13/22,125
5,NewYork Express 2- Ferry ,Tier 1,New York,NY,Ferry,NYC Ferry operated by Hornblower,South St & Gouverneur Ln,10005,844 469 3377,Architecture Tour,1/12/22,15
6,NewYork Express 2- Ferry ,Tier 1,New York,NY,Restaurant,Le Bernardin,155 W 51st St,10019,212 554 1515,Elite French Restaurant,1/12/22,125
7,NewYork Express 2- Ferry ,Tier 1,New York,NY,Ferry,East River Ferry,Brooklyn,11206,844 469 3388,City sight seeing,1/13/22,18
8,NewYork Express 2- Ferry ,Tier 1,New York,NY,Restaurant,Dame,87 MacDougal St,10012,929 367 7370,Best Seafood Eatery in town,1/13/22,125
9,NewYork Express 3- Attraction ,Tier 1,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/12/22,32
10,NewYork Express 3- Attraction ,Tier 1,New York,NY,Restaurant,Frevo,48 W 8th St,10011,646 455 0804,multi-course modern menu,1/12/22,125
11,NewYork Express 3- Attraction ,Tier 1,New York,NY,Attraction,Central Park Zoo,64th Street & 5th Avenue,10065,(212) 439-6500,Zoo Tour,1/13/22,19
12,NewYork Express 3- Attraction ,Tier 1,New York,NY,Restaurant,Le Bernardin,155 W 51st St,10019,212 554 1515,Elite French Restaurant,1/13/22,125
13,NewYork Express 4- Attraction ,Tier 1,New York,NY,Attraction,Empire State Building,20 W 34th St,10001,(212) 736-3100,ALL ACCESS TOUR,1/12/22,55
14,NewYork Express 4- Attraction ,Tier 1,New York,NY,Restaurant,Frevo,48 W 8th St,10011,646 455 0804,multi-course modern menu,1/12/22,125
15,NewYork Express 4- Attraction ,Tier 1,New York,NY,Attraction,Rockefeller Center,30 Rockefeller Plaza,10112,212 698 2000,360-degree views of New York City,1/13/22,40
16,NewYork Express 4- Attraction ,Tier 1,New York,NY,Restaurant,Le Bernardin,155 W 51st St,10019,212 554 1515,Elite French Restaurant,1/13/22,125
17,NewYork Express 5 - Aquarium ,Tier 1,New York,NY,Aquarium,New York Aquarium,602 Surf Ave ,11224,718 265 3474,Aquarium tour and Penguin show,1/12/22,25
18,NewYork Express 5 - Aquarium ,Tier 1,New York,NY,Restaurant,Dame,87 MacDougal St,10012,929 367 7370,Best Seafood Eatery in town,1/12/22,125
19,NewYork Express 5 - Aquarium ,Tier 1,New York,NY,Aquarium,Manhattan Aquariums,522 W 37th St,10018,212 594 2272,Aquarium tour and Dolphin show,1/13/22,28
20,NewYork Express 5 - Aquarium ,Tier 1,New York,NY,Restaurant,Frevo,48 W 8th St,10011,646 455 0804,multi-course modern menu,1/13/22,125
21,NewYork Express 6,Tier 1,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/12/22,23
22,NewYork Express 6,Tier 1,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/12/22,32
23,NewYork Express 6,Tier 1,New York,NY,Aquarium,Manhattan Aquariums,522 W 37th St,10018,212 594 2272,Aquarium tour and Dolphin show,1/13/22,28
24,NewYork Express 6,Tier 1,New York,NY,Ferry,NYC Ferry operated by Hornblower,South St & Gouverneur Ln,10005,844 469 3377,Architecture Tour,1/13/22,15
25,NewYork Elite - 1,Tier 2,New York,NY,Attraction,Statue Of Liberty,22 Battery Pl,10004,(212) 363-3200,FERRY TOUR,1/12/22,32
26,NewYork Elite - 1,Tier 2,New York,NY,Restaurant,Frevo,48 W 8th St,10011,646 455 0804,multi-course modern menu,1/12/22,125
27,NewYork Elite - 1,Tier 2,New York,NY,Aquarium,Aquarius Aquariums,214 Riverside Dr,10025,212 749 4970,Aquarium tour and Seal show,1/13/22,22
28,NewYork Elite - 1,Tier 2,New York,NY,Museum,9/11 Memorial and Museum,180 Greenwich St,10007,(212) 312-8800,Bagpipe Tribute,1/14/22,30
29,NewYork Elite - 1,Tier 2,New York,NY,Ferry,East River Ferry,Brooklyn,11206,844 469 3388,City sight seeing,1/14/22,18
30,NewYork Elite - 2,Tier 2,New York,NY,Museum,American Museum of Natural History,200 Central Park West,10024,(212) 769-5100,SciCafe: AI and the Future of Disease-Risk Prediction,1/12/22,23
31,NewYork Elite - 2,Tier 2,New York,NY,Restaurant,Le Bernardin,155 W 51st St,10019,212 554 1515,Elite French Restaurant,1/12/22,125
32,NewYork Elite - 2,Tier 2,New York,NY,Attraction,Empire State Building,20 W 34th St,10001,(212) 736-3100,ALL ACCESS TOUR,1/13/22,55
33,NewYork Elite - 2,Tier 2,New York,NY,Ferry,East River Ferry,Brooklyn,11206,844 469 3388,City sight seeing,1/13/22,18
34,NewYork Elite - 2,Tier 2,New York,NY,Aquarium,New York Aquarium,602 Surf Ave ,11224,718 265 3474,Aquarium tour and Penguin show,1/14/22,25
35,NewYork Elite - 3,Tier 2,New York,NY,Ferry,NYC Ferry operated by Hornblower,South St & Gouverneur Ln,10005,844 469 3377,Architecture Tour,1/12/22,15
36,NewYork Elite - 3,Tier 2,New York,NY,Restaurant,Dame,87 MacDougal St,10012,929 367 7370,Best Seafood Eatery in town,1/12/22,125
37,NewYork Elite - 3,Tier 2,New York,NY,Aquarium,Manhattan Aquariums,522 W 37th St,10018,212 594 2272,Aquarium tour and Dolphin show,1/13/22,28
38,NewYork Elite - 3,Tier 2,New York,NY,Museum,Brooklyn Museum,200 Eastern Pkwy,11238,718-638-5000,Art History Happy Hour: Modern Gothic,1/14/22,28
39,NewYork Elite - 3,Tier 2,New York,NY,Attraction,Rockefeller Center,30 Rockefeller Plaza,10112,212 698 2000,360-degree views of New York City,1/14/22,40
40,Chicago Express 1 - Museum,Tier 1 ,Chicago,IL,Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/12/22,40
41,Chicago Express 1 - Museum,Tier 1 ,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/12/22,125
42,Chicago Express 1 - Museum,Tier 1 ,Chicago,IL,Museum,Museum of Science and Industry,5700 S Lake Shore Dr,60637,773 753 1351,Award Winning Exhinbits at MSI,1/13/22,22
43,Chicago Express 1 - Museum,Tier 1 ,Chicago,IL,Restaurant,Monteverde Restaurant & Pastificio,1020 W Madison St,60607,312 888 3041,"Stylish spot serving refined, contemporary Italian menu",1/13/22,125
44,Chicago Express 2 - Museum,Tier 1 ,Chicago,IL,Museum,McCormick Bridgehouse & Chicago River Museum,99 Chicago Riverwalk,60601,312 977 0227,Exhibits on the city's river & movable bridges,1/12/22,6
45,Chicago Express 2 - Museum,Tier 1 ,Chicago,IL,Restaurant,The Publican,837 W Fulton Market,60607,312 733 9555,A creative seafood & pork-focused menu plus global brews in a hip setting with communal tables,1/12/22,125
46,Chicago Express 2 - Museum,Tier 1 ,Chicago,IL,Museum,Field Museum,1400 S Lake Shore Dr,60605,312 922 9410,National History Museum,1/13/22,40
47,Chicago Express 2 - Museum,Tier 1 ,Chicago,IL,Restaurant,Alinea,1723 N Halsted St,60614,312 227 3456,New American tasting menus featuring highly creative plates,1/13/22,125
48,Chicago Express 3 - Ferry,Tier 1 ,Chicago,IL,Ferry,Shoreline Sightseeing,401 N Michigan Ave,60611,312 222 9328,Chicago Architecture Tour,1/12/22,37
